Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IL,2016,"12        ",Male,17,Right-Handed,182,24,186,1.5,Car,15,.384,39,Swimming,900,700,1000,1000,700,700,24,"Same length",72,72,"Same length",May,Summer,Yes,No,Meat,Water,"Mathematics and statistics",9,9.5,3,"Yes - other","Cell phone",50,50,10,,,,,,,,,,,,,,,,,,
USA,IL,2014,"12        ",Male,17,Right-Handed,185.6,27,200,1,Car,2,.33,38,"Football (American)",800,800,500,700,1000,500,27,"Same length",85,79,"Index finger",April,Summer,No,No,Seafood,Water,Other,5,9,3,"Yes - broadband connection","Cell phone",4,3,14,2,0,6,24,2,0,2,4,8,6,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Other,Environment
USA,IL,2015,"10        ",Female,17,Right-Handed,98,20,120,2,Car,15,5,66,Swimming,0,0,0,0,0,0,20,"Same length",7.5,7,"Index finger",June,Fall,,Yes,Fruit,Water,"Physical education",4.5,9,3,"Yes - broadband connection","Cell phone",5,8,5,1,6,4,10,2,4,1,4,2,10,3,"A lot","Less than high school",Pop,Fly,Happy,Other,Health
USA,IL,2019,"10        ",Female,16,Right-Handed,160,23.8,163,2,Car,7,0.513,44,Soccer,1000,999,500,1000,20,1000,23.8,"Same length",60,65,"Ring finger",May,Summer,No,No,Seafood,Water,"Physical education",8,6,6,"Yes - other","Internet chat or instant messaging",150,148,10,6,4,5,14,2,7,"4 ",14,14,0,3,"Very little","Graduate degree",Other,Telepathy,Happy,Relative,Health
USA,IL,2016,"9         ",Male,15,Right-Handed,168,26,175,2,Bus,36,0.68,54,Athletics,10,500,1000,1000,1,700,27,"Left foot",9,7.5,"Same length",February,Summer,Yes,No,Seafood,"Sports drink",Other,6,9,3,"Yes - broadband connection","Text messaging",70,150,6,3,20,7,30,4,20,24,20,2,1,2,"A lot","Some college","Rap/Hip hop",Telepathy,Rich,"Community leader or elder",Health
USA,IL,2014,"12        ",Male,17,Left-Handed,,,,,Walk,15,0.349,50,"Martial Arts",5000,5000,5000,9000,7500,7500,,"Same length",,,"Ring finger",June,Summer,No,No,Desserts,"Soft drink (caffeinated)","Computers and technology",7,8,3,"Yes - broadband connection","Text messaging",12,5,5,2,0,2,0,8,1,5,9,1,12,9,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,Teacher,"International aid"
USA,IL,2019,"12        ",Female,17,Right-Handed,166cm,23cm,152cm,2,Car,4mins,0.443,43,Dancing,900,800,750,740,500,550,23cm,"Same length",70mm,70mm,"Same length",December,Fall,No,No,"Rice/Noodle dishes",Coffee,Art,7,8,2,"Yes - broadband connection",,20,30,20,1,5,2,9,0,10,10,28,1,8,2,"A lot","Graduate degree",Other,Telepathy,Healthy,Actor,Environment
USA,IL,2018,"12        ",Female,16,Right-Handed,162.7,22,160,1,Car,15,.33,41,Athletics,850,850,925,925,610,610,21,"Left foot",79,80,"Ring finger",July,Summer,Yes,No,Desserts,Tea,"Mathematics and statistics",6,10,4,"Yes - other","In person",20,23,20,2,25,15,10,0,10,2,15,10,0,10,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Business person","International aid"
USA,IL,2019,"10        ",Female,15,Right-Handed,170,27.9,169,4,Bus,30,0.355,45,Soccer,1000,1000,1000,1000,50,50,26,"Right foot",75,85,"Ring finger",March,Spring,Yes,No,Seafood,Juice,"Physical education",7,5,5,"Yes - other",,23,20,6,9,9,50,15,4,50,6,10,5,3,10,Some,"Some college",Gospel,Invisibility,Rich,Relative,"Wildlife, animals"
USA,IL,2019,"10        ",Male,15,Right-Handed,70,30,85,2,Bicycle,40,0.337,44,Baseball/Softball,1000,1000,1000,1000,219,401,30,"Same length",,,"Same length",December,Winter,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,7,5,"Yes - broadband connection","Text messaging",20,20,"2 ",0,0,2,1,1,2,1,0,0,0,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Community leader or elder",Health
